Sex,MaritalStatus,Age,Education,Occupation,YearsInSf,DualIncome,HouseholdMembers,Under18,HouseholdStatus,TypeOfHome,EthnicClass,Language,Income
2,1,4,3,5,1,3,3,1,1,1,7,1,8
1,1,5,6,1,5,2,4,0,1,1,7,1,9
2,3,4,5,1,3,1,2,1,2,3,2,3,5
2,4,6,6,1,1,1,1,0,2,3,7,1,2
1,5,1,2,6,5,1,5,2,3,1,7,1,1
2,1,4,4,1,5,2,5,3,1,1,7,1,8
2,1,5,4,5,5,3,3,0,1,1,7,1,8
2,5,2,2,6,2,1,3,0,3,1,3,1,2
2,1,6,4,2,5,2,4,2,2,1,7,1,6
2,1,5,4,5,5,3,3,0,1,1,7,1,8
2,1,6,3,5,nan,3,2,0,1,1,7,1,6
2,1,4,3,5,3,3,6,4,1,1,7,nan,8
2,1,3,3,5,5,3,5,3,1,1,5,1,6
2,5,1,2,2,5,1,3,1,3,2,7,1,4
1,3,5,4,1,5,1,1,0,2,2,7,1,7
1,5,1,2,6,nan,1,5,3,3,1,7,1,1
2,1,5,6,5,5,3,2,0,1,1,7,nan,9
1,1,1,5,8,5,2,3,0,2,1,3,2,3
1,5,1,1,3,5,1,nan,0,3,1,7,1,1
1,5,1,1,6,5,1,4,2,3,1,7,1,1
2,1,4,4,1,5,2,2,0,1,1,7,1,9
2,1,6,6,5,5,3,2,0,1,1,7,1,8
2,3,5,4,1,2,1,1,0,1,1,7,1,1
1,1,3,4,3,5,2,3,1,1,1,7,1,8
1,3,4,3,3,5,1,1,0,1,1,8,1,4
2,1,3,5,1,4,2,3,1,1,2,7,1,8
1,1,7,4,8,5,2,4,2,1,1,7,1,7
2,1,5,4,5,nan,1,4,1,2,3,2,nan,3
1,5,1,2,6,5,1,5,3,3,1,5,1,1
1,5,1,2,6,5,1,5,3,3,1,7,1,1
2,1,4,4,5,4,3,4,2,1,1,2,3,7
1,5,1,1,6,5,1,3,0,3,1,7,1,1
2,1,6,5,1,nan,2,2,0,1,1,7,1,9
2,3,4,2,1,5,1,2,0,3,1,7,1,3
2,1,4,4,5,5,3,4,2,1,1,7,1,9
2,1,3,4,5,2,3,4,2,1,2,7,1,8
1,5,1,2,4,5,1,5,3,3,1,7,1,1
2,1,5,3,5,nan,3,3,1,1,1,7,1,6
2,1,6,3,8,nan,3,nan,0,2,3,7,3,2
2,5,3,5,1,5,1,4,0,2,1,3,3,4
2,1,7,3,5,nan,3,2,2,1,1,7,1,3
2,2,2,5,1,4,1,2,0,2,3,7,1,8
1,1,3,5,6,2,3,3,0,2,1,7,1,5
2,nan,4,5,5,nan,3,5,3,1,1,7,1,6
1,1,6,5,1,5,2,2,0,1,1,7,1,9
2,1,2,2,5,3,3,4,2,2,3,7,1,2
2,2,4,4,3,nan,1,2,0,2,1,7,1,2
2,1,4,6,5,2,3,4,1,1,1,7,1,9
1,1,3,4,1,3,2,2,0,2,3,2,1,4
1,5,2,4,6,4,1,2,0,2,3,7,1,3
2,1,2,4,2,5,2,2,0,2,3,7,1,5
1,3,6,3,8,nan,1,1,0,1,2,7,1,5
2,5,2,4,6,3,1,4,0,3,1,7,1,9
2,1,6,4,4,5,2,2,0,1,1,7,1,8
1,5,2,4,6,5,1,3,0,3,1,7,1,9
1,5,2,4,6,5,1,4,0,1,1,5,1,9
2,1,6,4,5,2,1,2,0,1,5,7,3,7
2,1,6,3,2,5,2,2,0,1,1,7,1,8
1,1,7,3,8,5,3,2,0,1,4,7,1,3
2,1,6,4,8,5,3,2,0,1,2,7,1,7
2,1,7,4,8,nan,3,2,0,1,1,7,1,5
2,3,7,3,8,5,1,2,0,1,1,7,1,1
2,1,5,6,1,5,2,4,2,1,1,7,1,9
2,nan,4,4,1,5,1,nan,0,2,nan,7,nan,4
2,1,5,6,1,2,2,3,0,1,1,4,3,8
2,1,4,3,5,5,3,2,0,1,1,8,2,7
2,5,1,3,9,4,1,3,1,3,1,7,1,5
1,5,2,3,6,5,1,2,0,3,1,7,1,6
1,5,1,2,2,5,1,3,1,3,1,7,1,8
1,5,1,2,6,5,1,5,3,3,1,7,1,1
2,5,1,1,1,2,1,7,5,2,2,8,nan,7
2,5,2,3,1,5,1,2,0,3,3,7,1,1
2,1,6,4,1,5,2,6,0,1,1,1,1,7
2,1,5,4,5,5,3,4,0,1,1,7,1,6
1,1,3,6,2,2,2,2,0,2,3,nan,1,8
1,5,2,2,6,5,1,5,1,3,1,7,1,9
2,2,3,3,4,2,1,3,1,2,3,1,1,4
2,nan,7,3,8,5,1,1,0,2,3,7,1,5
2,1,7,4,8,5,3,2,0,1,1,7,1,5
2,3,3,4,4,nan,1,3,1,2,2,7,1,2
2,1,2,5,2,2,2,2,0,2,1,7,1,3
1,5,5,6,1,1,1,1,0,2,2,7,1,6
2,4,7,3,8,2,1,2,0,nan,2,7,1,7
2,3,7,5,8,nan,1,nan,0,2,2,7,nan,7
2,3,4,4,4,5,1,nan,0,1,1,7,1,7
2,5,1,1,6,5,1,nan,0,3,1,7,nan,1
2,1,3,5,5,3,3,3,1,1,1,7,1,9
2,2,5,4,1,5,1,2,0,1,1,7,nan,8
2,2,5,4,1,5,1,2,0,1,1,7,1,8
2,5,1,2,6,nan,1,5,1,3,1,7,1,1
2,1,4,5,4,3,2,4,2,1,1,7,1,8
2,nan,4,3,nan,nan,3,4,2,1,1,7,nan,7
2,3,3,4,5,5,1,4,3,2,2,7,1,6
1,1,6,4,8,5,3,nan,0,nan,nan,nan,nan,8
2,1,5,6,4,5,3,3,0,1,1,7,1,4
2,1,5,5,1,5,2,2,0,1,1,7,1,9
1,5,1,1,9,5,1,5,3,3,1,5,1,1
2,1,5,4,1,4,2,5,1,1,1,7,1,8
2,1,6,4,1,5,3,2,0,1,1,7,1,8
2,5,1,2,6,nan,1,8,6,3,nan,7,1,1
2,1,5,6,5,2,3,3,0,1,1,7,1,9
2,5,1,2,6,3,1,5,3,3,3,2,3,1
1,1,4,4,1,4,2,6,2,2,1,7,1,7
1,1,4,6,1,3,2,5,3,1,1,7,1,9
1,1,7,3,1,5,3,2,0,1,1,7,1,7
1,1,7,6,1,5,3,3,0,1,1,7,1,7
1,5,2,4,1,nan,1,7,0,2,2,7,1,4
2,3,5,4,1,4,1,2,0,1,1,7,1,7
2,5,3,6,6,5,1,7,1,3,1,7,1,1
1,1,7,3,8,5,3,3,0,1,1,7,1,7
1,5,2,4,9,2,1,nan,0,2,3,3,1,1
1,1,7,3,8,5,3,2,0,1,1,7,1,5
2,1,4,6,1,3,2,4,2,1,1,7,1,9
2,5,1,2,4,3,1,2,1,3,nan,7,1,2
2,5,1,2,4,5,1,3,2,3,3,5,1,2
1,1,6,4,8,5,3,2,0,1,1,7,1,8
2,1,4,4,5,5,3,4,0,1,1,7,1,8
2,1,4,5,1,5,2,2,0,1,1,7,1,9
2,1,3,5,1,3,2,2,0,1,5,7,1,9
2,1,4,6,1,5,2,3,1,1,1,7,1,9
1,1,4,6,1,5,2,2,0,1,1,5,1,9
1,5,1,2,6,3,1,6,3,3,5,7,1,1
2,1,2,3,1,5,2,2,0,2,3,7,1,2
1,1,7,6,1,5,3,3,3,1,1,7,1,9
2,1,4,3,1,5,3,4,2,1,1,7,1,6
2,1,7,4,8,nan,3,2,0,nan,5,7,1,3
2,3,7,3,8,nan,1,1,0,nan,3,2,1,4
2,3,6,5,1,5,1,2,0,1,1,7,1,3
2,4,7,4,4,5,1,1,0,1,1,7,1,1
1,5,1,2,6,4,1,3,0,3,2,5,1,1
2,1,3,3,5,5,3,4,2,1,1,7,1,6
1,5,4,4,2,5,1,1,0,2,3,7,1,5
2,4,5,4,8,2,1,2,0,2,3,7,1,7
1,5,3,4,1,2,1,2,0,1,1,7,1,7
1,1,7,6,nan,5,3,2,0,1,1,7,1,7
2,1,7,4,8,5,3,2,0,1,nan,7,1,5
2,5,2,4,6,4,1,nan,0,2,2,7,1,1
1,1,7,4,8,5,3,2,0,1,1,7,1,5
2,5,3,4,3,5,1,1,0,2,3,7,1,2
2,5,3,3,3,4,1,3,1,2,3,7,1,2
2,4,7,5,8,5,1,1,1,2,3,7,1,4
2,1,6,5,2,5,2,2,0,1,1,7,1,8
2,1,4,6,5,4,3,5,3,1,1,7,3,8
1,1,7,5,8,5,3,2,0,1,1,7,1,4
2,5,3,4,4,5,1,1,0,2,3,7,1,5
2,5,2,4,6,5,1,4,0,3,1,7,1,4
2,5,2,3,2,3,1,3,1,3,1,7,1,9
2,3,7,6,1,5,1,1,0,2,1,7,1,3
1,5,3,4,1,5,1,2,0,1,1,6,1,8
1,5,3,5,1,3,1,2,0,2,2,7,1,7
1,1,3,5,1,4,2,3,1,2,3,7,3,7
1,5,3,4,1,5,1,1,0,2,2,7,1,7
2,1,3,5,1,5,2,2,0,1,1,7,1,8
2,5,1,2,6,4,1,3,1,3,1,2,1,1
2,1,5,4,1,5,2,2,0,1,1,7,1,8
2,5,3,5,1,5,1,2,0,1,1,5,1,6
1,1,6,6,1,5,2,2,0,1,1,7,1,8
1,1,7,3,8,nan,3,nan,0,1,1,7,1,3
1,2,3,4,1,5,2,4,0,2,1,7,1,4
2,1,4,4,5,5,3,5,3,1,1,7,1,9
2,1,5,3,4,5,2,3,0,1,1,7,1,6
2,1,6,5,5,5,3,2,0,1,nan,7,1,9
2,1,5,3,1,5,3,3,1,1,1,7,1,1
1,1,4,6,1,5,2,2,0,1,2,7,1,8
1,5,2,5,1,5,1,3,0,2,3,2,1,5
2,3,3,4,4,5,1,4,1,1,4,5,1,5
1,5,2,5,4,3,1,1,0,3,1,7,1,2
2,1,5,2,5,5,3,4,1,nan,3,7,1,6
1,1,4,1,2,5,2,3,1,2,3,5,1,6
2,5,2,3,6,5,1,3,0,3,1,7,1,8
2,5,2,3,6,5,1,6,0,2,5,7,1,8
2,5,1,nan,6,3,1,4,2,3,1,5,1,1
2,3,4,6,1,5,1,1,0,1,1,7,1,7
2,1,3,5,1,4,2,3,1,1,1,7,1,9
2,5,3,4,1,5,1,1,1,1,1,7,1,5
1,1,7,5,8,5,3,2,0,1,1,7,1,8
1,1,5,5,1,5,2,2,0,1,1,7,nan,9
1,5,1,1,6,5,1,3,1,3,2,5,1,1
1,1,3,4,nan,5,2,2,0,2,2,7,1,4
1,1,6,4,1,5,2,3,0,1,1,7,1,8
1,3,5,3,3,4,1,4,1,2,1,7,1,7
1,1,3,4,1,4,2,4,2,2,1,7,1,9
1,1,6,5,1,5,2,2,0,1,1,7,1,9
1,1,6,6,1,5,2,3,1,1,1,7,1,8
2,2,3,4,3,5,1,2,0,2,3,7,1,6
1,1,3,4,3,5,2,2,0,1,1,7,1,7
1,1,6,6,8,5,3,2,0,1,1,7,1,9
1,5,2,3,1,5,1,3,0,2,2,7,1,8
1,1,5,nan,2,5,2,4,2,1,1,7,1,6
1,1,5,6,1,5,3,2,1,1,1,3,1,8
1,5,1,2,4,5,1,4,2,3,1,7,1,9
1,1,6,5,1,5,3,2,0,1,1,7,1,8
1,1,7,4,8,5,2,2,0,1,1,7,1,9
1,1,6,4,1,5,2,2,0,2,1,7,1,9
1,5,3,4,6,5,1,4,0,2,1,7,1,4
1,5,2,4,3,5,1,3,0,3,1,7,1,9
1,1,5,6,1,5,1,3,0,1,1,3,1,8
1,5,3,6,1,5,1,2,0,2,3,7,1,5
1,1,5,3,8,5,2,3,0,1,1,7,1,7
2,1,7,4,8,5,3,3,0,1,1,7,1,9
1,1,4,6,1,5,2,3,1,1,1,7,1,9
1,1,7,5,8,5,3,2,0,1,1,7,1,5
2,3,6,3,4,nan,1,1,0,1,5,7,1,6
1,1,6,4,1,5,2,3,1,1,1,7,1,8
1,1,4,5,2,5,2,4,2,1,1,7,1,9
1,1,4,6,1,5,2,2,0,1,1,7,1,9
1,1,4,6,1,5,2,4,2,1,1,7,1,8
1,1,3,6,1,5,2,2,0,1,1,1,1,9
1,2,2,3,3,2,1,4,0,2,3,7,1,4
1,1,4,5,1,5,2,4,1,1,1,7,1,9
1,1,6,5,8,5,2,4,0,1,1,7,1,7
2,1,3,3,1,3,3,4,2,2,3,7,1,7
1,1,3,4,1,4,2,4,2,1,1,7,1,8
1,1,5,4,1,5,3,2,0,1,1,7,1,8
1,3,4,6,9,3,1,1,0,2,1,7,1,1
1,3,7,2,8,5,1,1,0,1,1,7,1,2
2,3,5,3,4,5,1,nan,0,1,1,5,1,4
1,1,7,3,8,5,3,2,0,1,1,7,1,6
2,5,2,4,1,5,1,6,1,3,1,7,1,3
1,1,7,4,8,nan,3,2,0,1,2,7,1,4
2,4,7,3,4,5,1,1,0,1,1,7,1,4
1,5,2,4,1,5,1,1,0,2,1,7,1,5
2,4,4,3,4,nan,1,5,3,2,3,7,1,2
2,3,6,4,5,5,1,4,0,1,1,7,1,6
2,1,3,4,2,5,2,3,1,2,3,7,1,6
2,3,4,6,1,5,1,1,0,1,2,7,1,8
1,1,3,3,3,5,2,4,2,2,5,7,1,6
2,5,7,6,8,5,1,2,0,1,1,7,1,1
2,1,5,4,5,5,2,5,1,1,1,7,1,8
2,1,5,4,5,4,2,4,2,2,2,3,1,7
2,1,3,4,5,4,3,5,0,2,1,7,1,5
2,1,4,5,2,5,2,4,1,1,1,7,1,9
2,5,3,5,1,5,1,1,0,2,2,7,1,6
2,1,6,4,8,5,3,3,0,1,1,7,1,4
2,1,3,5,1,5,2,4,2,1,1,7,1,8
2,3,5,4,2,nan,1,1,0,2,nan,7,1,4
1,5,2,4,6,5,1,3,0,3,1,7,1,3
1,1,4,4,1,5,3,4,2,1,1,7,1,7
2,5,2,4,6,5,1,nan,0,3,1,7,1,8
1,1,7,4,8,5,3,nan,0,1,1,7,1,6
2,1,7,6,8,nan,3,2,0,1,2,7,1,8
2,1,3,5,1,5,2,4,2,1,1,8,3,9
1,5,2,4,2,5,1,3,0,3,1,7,1,9
1,5,2,2,4,2,1,4,0,3,1,7,1,9
1,5,2,2,6,2,1,4,0,3,1,7,1,1
1,5,3,5,1,5,1,2,0,1,1,7,1,8
1,1,3,5,1,5,2,2,0,1,1,7,1,8
2,5,2,4,6,3,1,5,2,1,1,7,1,1
1,5,2,3,6,4,1,3,0,2,1,7,1,5
1,5,2,3,7,3,1,nan,0,3,1,7,1,1
2,1,5,4,1,5,2,2,0,1,1,7,1,9
2,1,6,5,7,5,3,2,0,1,1,7,1,4
1,5,5,5,1,5,1,1,0,2,3,7,1,3
1,1,5,6,1,5,3,2,0,1,1,7,1,9
2,4,7,4,1,5,1,nan,0,1,1,7,1,1
1,1,7,5,8,5,3,2,0,1,1,7,1,7
1,5,1,2,2,4,1,4,2,3,1,7,3,1
1,5,1,3,6,5,1,4,2,3,1,7,1,1
2,2,3,2,4,5,1,2,0,1,2,7,1,7
2,1,6,3,5,nan,3,2,0,1,1,7,1,5
1,5,3,4,1,3,1,1,0,1,1,7,1,8
2,3,5,4,nan,5,1,1,0,1,nan,7,1,6
2,2,3,5,1,5,1,2,0,1,1,7,1,6
2,1,4,4,1,5,2,2,0,1,1,7,1,8
1,1,5,4,1,5,3,3,0,1,1,1,1,8
1,1,6,6,8,5,3,2,0,1,5,7,1,8
2,5,7,6,8,5,1,2,0,1,1,7,nan,5
1,5,3,6,1,5,1,1,0,2,3,7,1,2
2,5,3,4,8,5,1,1,0,2,5,5,1,1
2,3,3,5,1,5,1,2,0,2,3,7,1,3
2,5,3,5,2,5,1,1,0,2,3,7,1,5
1,1,6,4,2,5,2,2,0,1,1,7,nan,7
1,5,3,4,4,5,1,1,0,2,3,7,1,3
2,5,4,4,1,5,1,2,0,1,1,7,1,8
2,5,1,2,6,nan,1,nan,3,3,1,1,1,1
2,5,1,3,6,2,1,4,2,3,1,7,1,1
2,1,3,5,4,5,2,2,0,1,1,7,1,8
2,1,6,4,1,5,2,2,0,1,1,7,1,8
2,1,6,4,5,5,3,4,0,1,1,7,1,8
2,1,4,5,1,4,2,4,2,1,1,7,1,8
2,5,3,4,1,nan,1,3,0,1,1,7,1,6
1,3,5,6,1,5,1,nan,1,1,1,7,1,8
1,5,2,4,6,5,1,3,0,1,1,7,1,9
1,1,5,5,1,nan,2,4,2,1,1,2,1,8
2,3,5,4,1,5,1,1,0,2,3,7,1,6
1,1,3,6,1,2,2,2,0,2,3,7,1,6
2,1,2,3,6,1,3,2,0,2,3,7,1,6
1,5,4,6,1,4,1,1,0,1,5,7,1,8
2,3,5,6,4,5,1,1,0,2,nan,7,1,6
1,2,4,4,1,5,2,2,0,2,3,7,1,8
1,1,3,6,1,2,3,2,0,2,1,2,3,6
2,5,3,6,4,5,1,2,0,2,1,2,1,2
2,5,2,4,5,5,1,5,0,3,1,7,1,8
2,5,1,2,6,5,1,4,2,3,1,5,1,1
2,1,3,3,4,5,2,4,2,1,1,7,1,8
2,1,4,6,1,nan,2,4,2,1,1,7,1,9
1,2,2,4,2,5,1,2,0,nan,3,5,1,1
2,2,2,4,6,5,1,2,0,2,3,7,1,1
2,1,4,4,5,5,3,4,2,1,1,7,1,8
1,5,2,4,3,5,1,3,0,3,1,7,1,2
1,1,4,3,1,5,3,2,0,1,nan,7,1,9
2,2,2,4,5,5,1,3,1,2,1,7,1,2
2,3,7,5,4,5,1,1,0,1,nan,7,1,7
2,5,3,6,9,5,1,1,0,2,3,7,1,4
1,5,1,2,2,nan,1,nan,0,3,1,7,1,2
1,5,1,2,6,5,1,3,1,3,1,7,1,1
2,1,2,3,5,2,3,4,2,2,3,7,1,2
2,3,3,3,6,5,1,5,4,2,3,7,1,2
2,5,4,3,2,2,1,3,2,2,3,7,1,1
2,1,4,4,5,5,3,3,1,1,1,7,1,6
1,1,6,1,3,5,3,4,1,1,1,3,1,3
2,5,2,2,9,1,1,9,3,2,3,7,1,1
1,5,6,4,8,5,1,1,0,2,3,7,1,1
1,3,6,5,7,5,1,nan,0,2,nan,7,1,7
2,5,2,5,6,5,1,2,0,2,1,7,1,1
2,3,3,4,6,4,1,3,2,2,3,7,1,1
2,5,2,4,6,nan,1,3,0,3,1,1,1,1
2,1,2,5,1,3,2,2,0,2,3,7,1,4
1,1,2,4,3,3,2,2,0,2,3,7,1,4
2,4,7,2,5,nan,1,nan,0,nan,3,7,1,1
2,1,2,4,6,2,3,2,0,2,3,7,1,4
2,1,4,6,1,5,2,3,1,1,1,7,1,7
2,1,6,5,8,5,3,2,0,1,1,7,1,8
1,1,7,3,8,5,3,2,0,1,1,7,1,8
1,2,3,5,4,1,1,6,4,2,1,7,1,4
1,1,7,5,1,5,3,2,0,1,1,7,1,8
1,3,3,5,1,4,1,1,0,1,1,7,1,7
2,1,4,4,5,5,2,5,3,1,1,2,1,6
2,4,6,6,8,5,1,1,0,1,nan,7,1,6
1,1,3,4,1,5,2,2,0,2,3,7,1,6
1,1,4,6,1,5,3,4,2,1,1,7,1,9
1,1,5,4,3,5,3,2,0,1,1,7,1,6
1,1,5,4,1,5,3,nan,0,1,1,1,1,9
2,1,3,5,2,4,2,4,2,1,2,3,1,7
2,1,4,4,1,3,2,2,0,1,1,7,1,9
1,1,4,4,1,nan,3,3,1,1,1,7,1,9
1,4,7,3,7,nan,1,1,0,nan,4,7,1,5
2,5,5,6,1,4,1,1,0,2,3,7,1,3
2,4,6,3,8,5,1,1,0,1,1,7,1,1
1,5,5,4,8,nan,1,2,0,2,1,7,1,1
2,1,4,5,4,nan,2,4,2,1,1,7,1,8
1,5,2,4,6,nan,1,3,0,3,1,7,1,8
1,5,2,5,3,nan,1,2,0,2,1,7,1,3
2,3,5,3,5,5,1,2,0,1,1,7,1,3
2,5,4,5,1,4,1,1,0,2,3,7,1,4
1,2,7,6,9,5,1,2,0,1,1,7,1,6
1,1,2,3,3,nan,2,3,1,2,3,7,1,3
1,3,3,4,1,5,1,4,2,2,1,7,1,3
1,5,1,3,2,1,1,4,0,2,3,1,1,2
2,2,2,3,5,nan,1,7,5,2,3,5,1,5
2,2,3,2,3,nan,2,7,5,2,3,5,1,5
2,5,1,2,6,1,1,4,3,3,5,7,1,1
2,3,3,5,nan,nan,1,2,1,2,2,7,1,4
1,5,2,4,6,nan,1,4,0,3,1,7,1,7
2,5,2,4,6,nan,1,4,0,3,1,7,1,1
2,5,2,4,6,1,1,4,0,2,3,7,1,8
2,2,1,3,5,5,3,4,1,2,1,7,1,3
1,5,1,2,6,5,1,4,2,3,1,7,1,1
2,1,3,4,1,5,2,3,1,1,1,7,1,8
2,5,1,2,6,5,1,4,2,3,1,7,1,1
1,5,1,2,6,4,1,3,2,3,1,7,1,1
2,3,5,6,1,5,1,1,0,1,1,7,1,4
2,4,5,4,1,nan,1,2,0,1,1,7,1,6
1,5,3,4,3,nan,1,1,0,2,3,7,1,3
2,3,3,3,3,5,1,1,0,2,5,7,1,2
2,1,4,6,1,5,2,3,1,1,1,7,1,9
1,1,3,4,1,5,2,2,0,1,1,8,1,8
2,1,6,3,8,5,3,2,0,1,1,7,1,6
2,5,3,4,2,5,1,1,0,2,3,7,1,2
1,nan,2,4,7,nan,1,1,0,2,3,7,3,2
1,5,2,4,3,2,1,8,2,3,1,7,1,3
1,5,3,3,1,nan,1,2,0,2,3,7,1,6
1,5,3,4,3,5,1,4,0,2,1,7,1,1
1,5,1,2,2,5,1,3,1,3,1,7,1,8
1,5,3,3,6,2,1,3,0,2,3,3,1,2
2,5,2,3,4,2,1,2,0,2,1,7,1,3
2,3,3,3,5,2,1,2,1,3,3,7,1,1
1,5,4,4,3,5,1,1,0,2,4,7,1,6
2,1,5,5,1,4,2,2,0,1,1,7,1,7
1,1,5,3,8,nan,3,2,0,1,1,7,1,9
1,5,1,2,2,5,1,2,1,3,3,7,1,1
1,1,7,1,8,5,3,2,0,nan,4,7,1,7
2,5,2,2,6,5,1,3,0,3,1,nan,1,9
1,1,4,6,1,5,2,4,2,1,1,7,1,8
2,1,4,4,1,nan,2,4,0,1,1,8,nan,8
2,5,1,2,9,2,1,4,3,3,1,7,1,1
1,1,7,3,2,5,3,2,0,2,1,7,1,3
2,1,6,3,5,5,3,2,0,1,4,7,1,7
1,5,3,4,2,5,1,3,0,3,3,7,1,4
2,5,2,3,2,nan,1,1,0,2,1,7,1,2
1,1,7,4,8,5,3,2,0,1,1,7,1,6
1,1,7,5,8,5,3,2,0,1,1,7,1,6
2,4,7,3,8,2,1,1,0,1,4,7,1,5
2,1,5,5,nan,5,2,3,1,1,1,7,1,6
1,1,7,4,1,nan,3,2,0,1,1,7,1,5
1,5,3,4,nan,2,1,nan,0,1,4,7,1,9
2,5,2,3,2,5,1,4,1,2,1,7,1,4
2,5,1,1,1,1,1,3,1,3,3,7,1,3
2,5,1,1,6,nan,1,nan,0,3,3,7,1,1
2,1,6,3,5,5,3,2,0,1,1,7,1,2
2,1,6,6,2,5,2,2,0,2,3,7,1,6
1,3,6,6,8,5,1,2,0,2,1,7,1,7
2,1,2,3,6,5,2,4,2,2,3,7,nan,4
2,3,4,4,4,nan,1,4,0,2,2,7,1,4
2,5,1,2,6,2,1,5,3,3,1,7,1,1
2,2,4,5,2,nan,1,3,0,1,2,7,nan,6
1,1,7,6,8,5,3,2,0,1,1,7,1,4
2,5,1,1,nan,5,1,4,2,3,1,7,1,1
1,2,2,4,6,nan,1,2,0,2,3,7,1,2
1,5,3,2,9,5,1,2,0,2,1,5,2,1
1,2,2,4,6,nan,1,2,0,2,3,7,1,2
2,nan,6,5,1,1,3,2,0,1,1,7,1,3
2,4,6,3,1,5,1,2,0,1,1,7,1,4
2,4,7,4,8,5,1,3,0,1,1,7,1,3
2,5,2,3,2,5,1,4,1,3,1,7,1,1
1,4,7,3,8,5,1,1,0,1,1,7,1,9
2,5,2,2,2,2,1,2,0,2,3,7,1,1
1,5,6,5,1,5,1,2,1,2,1,7,1,5
2,1,6,4,8,nan,3,2,0,1,1,7,1,6
1,1,6,5,1,5,3,2,0,1,1,7,1,8
1,1,4,5,1,5,2,2,0,1,nan,7,1,5
1,5,4,5,1,5,1,1,0,1,1,7,1,7
2,5,2,4,2,2,1,3,0,2,3,7,1,2
2,1,7,4,5,5,3,2,0,1,1,7,1,8
1,2,4,5,1,2,2,2,0,2,3,7,1,6
2,1,6,4,1,5,3,2,0,1,nan,7,1,9
1,1,3,4,1,5,2,3,1,1,1,7,1,8
2,1,3,3,4,nan,2,3,1,1,1,7,1,8
2,3,4,6,1,2,1,1,0,1,1,7,1,6
2,1,3,4,5,nan,3,3,1,1,1,7,1,8
2,3,3,4,1,nan,1,2,1,2,1,7,1,6
2,2,5,5,1,4,2,4,1,1,1,7,1,4
1,3,4,4,1,5,1,2,0,1,1,7,1,8
2,2,3,6,1,2,1,2,0,2,5,7,1,8
2,4,7,5,8,nan,1,nan,0,1,1,7,1,6
2,1,3,3,1,nan,2,2,0,1,1,7,1,3
1,4,7,4,8,5,1,1,0,1,4,7,nan,1
1,5,6,3,8,nan,1,1,0,1,4,7,1,2
2,3,4,6,1,4,1,2,0,1,1,7,1,3
2,5,2,2,9,nan,1,nan,0,2,3,7,1,1
2,3,3,6,1,4,1,1,0,2,3,7,1,4
2,5,5,3,8,nan,1,1,0,2,3,1,1,1
1,3,3,6,1,5,1,1,0,1,1,1,1,9
2,1,6,6,1,5,3,2,0,1,5,7,1,7
1,1,5,5,1,nan,2,3,1,1,1,7,1,8
2,5,2,4,1,nan,1,2,0,2,3,7,1,6
1,2,2,4,4,4,1,5,2,3,1,7,1,6
1,1,4,6,1,5,2,3,1,1,1,5,1,8
1,1,5,4,1,5,2,2,0,1,1,7,1,8
2,1,3,3,1,2,2,3,1,2,1,7,1,7
2,2,2,5,6,nan,1,6,0,2,1,7,1,3
